id_u;username;first_name;last_name;birhtdate;phone;email;CIN;password;is_staff;is_active;is_superuser;last_login;date_joined;is_admin;profile;admin
1;ibrahimbgr;ibrahim;bougarroua;01/01/2000;600000000;ibrahimbgr@gmail.com;S1010;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;T;;
2;ezzoubeirasr;ezzoubeir;elasraoui;01/01/2000;600000000;ezzoubeirasr@gmail.com;S1011;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;T;;
3;mouadrah;mouad;rahhaoui;01/01/2000;600000000;mouadrah@gmail.com;S1012;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;T;;
4;ahmedth;ahmed;tahiri;01/01/2000;600000000;ahmedth@gmail.com;S1013;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;1;3
5;hassansm;hassan;sami;01/01/2000;600000000;hassansm@gmail.com;S1014;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;2;3
6;aminemk;amine;mekour;01/01/2000;600000000;aminemk@gmail.com;S1015;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;3;3
7;salimkld;salim;khaldi;01/01/2000;600000000;salimkld@gmail.com;S1016;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;4;3
8;mouradslm;mourad;salmi;01/01/2000;600000000;mouradslm@gmail.com;S1017;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;5;3
9;imadyzd;imad;yazidi;01/01/2000;600000000;imadyzd@gmail.com;S1018;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;6;3
10;azizdm;aziz;demri;01/01/2000;600000000;azizdm@gmail.com;S1019;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;7;3
11;mohamednr;mohamed;niri;01/01/2000;600000000;mohamednr@gmail.com;S1020;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;8;3
12;jamalrcd;jamal;rachdi;01/01/2000;600000000;jamalrcd@gmail.com;S1021;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;9;3
13;aliabd;ali;abdou;01/01/2000;600000000;aliabd@gmail.com;S1022;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;10;3
14;karimsl;karim;Sali;02/01/2000;600000001;karimsl@gmail.com;S1023;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;11;2
15;saidzr;said;zari;03/01/2000;600000002;saidzr@gmail.com;S1024;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;12;2
16;hamzabr;hamza;bradi;04/01/2000;600000003;hamzabr@gmail.com;S1025;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;13;2
17;mostafamlk;mostafa;malki;05/01/2000;600000004;mostafamlk@gmail.com;S1026;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;14;2
18;ibrahimmr;ibrahim;mira;06/01/2000;600000005;ibrahimmr@gmail.com;S1027;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;15;2
19;samirbz;samir;bazid;07/01/2000;600000006;samirbz@gmail.com;S1028;pbkdf2_sha256$260000$ZnMuRs7ib6eY7R4Xp7I0yL$ZKKGUwQdhQpd3GEfbMTjfcAr6kGaNRV1uJJ8XII+uRk;F;F;F;09/06/2021;09/06/2016;F;16;2
